Date,YoY_Growth_US,YoY_Growth_UK
1983-01-01,0.014314731652409485,0.039461052350382664
1983-04-01,0.03268479687025838,0.03579586525950562
1983-07-01,0.05736967079109201,0.04540078058350061
1983-10-01,0.07899663970222681,0.04590757090173825
1984-01-01,0.08578045114732769,0.034738507501044014
1984-04-01,0.07996531921438144,0.017303328667535922
1984-07-01,0.06900732226163919,0.013088644024363827
1984-10-01,0.05575643773964911,0.023848191818669262
1985-01-01,0.045548222635726665,0.0250074704190808
1985-04-01,0.03683987731337335,0.0575735005880047
1985-07-01,0.04262423409248006,0.049662418523202634
1985-10-01,0.04182460058948112,0.03160606512324793
1986-01-01,0.04146107165729074,0.032533591794856376
1986-04-01,0.03702004545954951,0.01982675221563679
1986-07-01,0.031191787285773875,0.02641832599902849
1986-10-01,0.029072396676214085,0.045561994249636806
1987-01-01,0.027115848244058993,0.04199178644763846
1987-04-01,0.03353600672877488,0.04815436729471978
1987-07-01,0.032619859723208355,0.06728959810447765
1987-10-01,0.04474555651430423,0.059044696360292415
1988-01-01,0.042412578965448366,0.06871190687330198
1988-04-01,0.04484493225777175,0.05858834544099034
1988-07-01,0.04193200105129624,0.04603831562845828
1988-10-01,0.03799338836732069,0.04255910056716461
1989-01-01,0.043151632099998505,0.030902409630619854
1989-04-01,0.037479108262349126,0.03196399382863646
1989-07-01,0.0390754190722471,0.020889882464080856
1989-10-01,0.02743211930028755,0.012648680570265913
1990-01-01,0.02821006526483294,0.012884762187662657
1990-04-01,0.024127049641931242,0.013331682744041284
1990-07-01,0.017273622503686914,0.0006021156442319597
1990-10-01,0.006030627340393391,-0.004332599084037159
1991-01-01,-0.009501973946258402,-0.014256567765209671
1991-04-01,-0.0053893079581170955,-0.02193967529029972
1991-07-01,-0.00102808870342197,-0.01304854565724134
1991-10-01,0.011664011655910578,-0.006818442262882418
1992-01-01,0.02858936912248855,-0.002213719945232784
1992-04-01,0.03169835814511379,-0.0026166188928211653
1992-07-01,0.036653854414522735,0.004081842220111431
1992-10-01,0.04382645388993267,0.010579924745036884
1993-01-01,0.033199058070509935,0.015960038986354785
1993-04-01,0.02806668207145946,0.022105337520631485
1993-07-01,0.022865117406066116,0.026596696665984965
1993-10-01,0.026077107599381977,0.02566704830530253
1994-01-01,0.03430706936043171,0.03062023087458421
1994-04-01,0.04225610689832271,0.03544432645726392
1994-07-01,0.04337048254936149,0.03640206962249937
1994-10-01,0.04116167021429895,0.03389919604205316
1995-01-01,0.03481405627292,0.029104214829217545
1995-04-01,0.024023751008017014,0.02186089130540325
1995-07-01,0.026733258155179795,0.02292204222750227
1995-10-01,0.021997916299495213,0.02165012277076106
1996-01-01,0.026013098466592277,0.023115832068791198
1996-04-01,0.04002379484223728,0.024317896368349246
1996-07-01,0.040501348871777365,0.022528792336921732
1996-10-01,0.04421452442981133,0.033243365085684484
1997-01-01,0.043140689443069924,0.042901305476954255
1997-04-01,0.0431127171595187,0.05100020580962905
1997-07-01,0.04674702492340366,0.05091122126048919
1997-10-01,0.04483552816031211,0.052082684058726514
1998-01-01,0.04855526883310857,0.04301596995072665
1998-04-01,0.040927900863352296,0.03819368789181765
1998-07-01,0.04103452727565782,0.03199414114805088
1998-10-01,0.04883126568525764,0.02373559612323972
1999-01-01,0.048163367927339884,0.02339875466865582
1999-04-01,0.04721885912228041,0.02174161377818984
1999-07-01,0.047911182467322844,0.034709386998543534
1999-10-01,0.048235742707329665,0.042619457852717924
2000-01-01,0.04224744861233032,0.048206714404019024
2000-04-01,0.052444568111355006,0.05093797532533384
2000-07-01,0.039731723525519014,0.04104074644664979
2000-10-01,0.029055943095086967,0.032934955103606
2001-01-01,0.021975051856706784,0.029438593168212623
2001-04-01,0.009962983270431103,0.02642777266474683
2001-07-01,0.004892362925611016,0.025295296156540692
2001-10-01,0.0016731829373148877,0.022065845812643037
2002-01-01,0.013372586567694578,0.015688021420928067
2002-04-01,0.013253787532159889,0.016171018950149163
2002-07-01,0.021465169830615416,0.01759833127539956
2002-10-01,0.01992524822195474,0.022177347082651178
2003-01-01,0.016792570124718242,0.02692987934231783
2003-04-01,0.019550651524723905,0.03142886284444257
2003-07-01,0.032311353875128956,0.033657301054367705
2003-10-01,0.04300440651057458,0.033776375007306125
2004-01-01,0.04341952085996703,0.030222917517733094
2004-04-01,0.04227491217016888,0.026690461023326062
2004-07-01,0.03494860356231766,0.0215654988488978
2004-10-01,0.03351104943954786,0.018752883493301287
2005-01-01,0.039088432572524257,0.022374524899009263
2005-04-01,0.036177355801611855,0.024894555407969143
2005-07-01,0.03448598847170792,0.028926458873956618
2005-10-01,0.029727366937913002,0.03327013923421185
2006-01-01,0.032131067957182013,0.030975089469879924
2006-04-01,0.029729038556202125,0.026440421630529176
2006-07-01,0.02325277937424497,0.021215045485595274
2006-10-01,0.026345603763438197,0.017017903066058437
2007-01-01,0.015767249700146868,0.021338491792065595
2007-04-01,0.01934374720018117,0.024824605295376445
2007-07-01,0.023680360773066234,0.028934973817097642
2007-10-01,0.02133364682457861,0.029661661441741316
2008-01-01,0.013924712055185307,0.02503018900304088
2008-04-01,0.013760107660276244,0.012615465164113271
2008-07-01,0.0026596727212868654,-0.009642055210672296
2008-10-01,-0.025411536884212604,-0.03635315430651209
2009-01-01,-0.03234227293078318,-0.060594181504870503
2009-04-01,-0.03978837405318725,-0.059064068315462515
2009-07-01,-0.031328157006863644,-0.043755418111496414
2009-10-01,0.001055725234829774,-0.020132256320072206
2010-01-01,0.017452658449103264,0.009645624368350703
2010-04-01,0.0291359502911801,0.02400136066585401
2010-07-01,0.03344209253779229,0.029036229910106348
2010-10-01,0.027759609093124693,0.026886089371151556
2011-01-01,0.020377971996133448,0.019968011572663924
2011-04-01,0.017437088645501975,0.010134027248374089
2011-07-01,0.009426534645672335,0.0076535528453045565
2011-10-01,0.01543075871606514,0.008182187502644878
2012-01-01,0.026380693108862374,0.014378908401731394
2012-04-01,0.02403335839137921,0.011834768585371913
2012-07-01,0.025737123144880414,0.018423204073869437
2012-10-01,0.01551852007332477,0.015866386556385503
2013-01-01,0.01700868485709428,0.009938996987300053
2013-04-01,0.015199382041070075,0.018648732548715685
2013-07-01,0.02237022493295515,0.017382098687726888
2013-10-01,0.030091449601746367,0.02567355109815539
2014-01-01,0.01650817555938011,0.031196372543566442
2014-04-01,0.026891521587272926,0.03274292843556337
2014-07-01,0.03059782928201682,0.031924819777607416
2014-10-01,0.026858351011456394,0.03196190675695809
2015-01-01,0.03969299498818479,0.026566670395882896
2015-04-01,0.032790878609270546,0.023640479345029775
2015-07-01,0.024473213664345517,0.01999838817787447
2015-10-01,0.02119861312664817,0.018710450604488393
2016-01-01,0.017950168913805964,0.01938892672959036
2016-04-01,0.01493250832714721,0.019103227853489058
2016-07-01,0.018057615310855146,0.01887977799832341
2016-10-01,0.021815663030564147,0.019470416922133582
2017-01-01,0.020874616941966906,0.024346474791576478
2017-04-01,0.023304137937582903,0.025192216421452196
2017-07-01,0.024108214121745908,0.027879072160268636
2017-10-01,0.029941434967617697,0.028745569291951156
2018-01-01,0.03328810094759116,0.02072811173275979
2018-04-01,0.032989628465220244,0.015888300433317237
2018-07-01,0.03130030640718684,0.012830939991020474
2018-10-01,0.02125110751484538,0.006852681058941101
2019-01-01,0.019335587266003706,0.013608112648076931
2019-04-01,0.022421256946982382,0.015187750637987607
2019-07-01,0.02797216868642849,0.019188808647863098
2019-10-01,0.03351776524198091,0.017660144285901014
2020-01-01,0.013585350290757248,-0.017192028691809802
2020-04-01,-0.0739861495878491,-0.2194415117105859
2020-07-01,-0.013646720997737227,-0.09508954752962195
2020-10-01,-0.009222152417236895,-0.08260513745830067
2021-01-01,0.018007541764505586,-0.06659860666389295
2021-04-01,0.12385669309432568,0.2573185375346776
2021-07-01,0.051508109950936465,0.09517121284051977
2021-10-01,0.05756179192135091,0.09693487855930938
2022-01-01,0.04034582077886428,0.1141556097953702
2022-04-01,0.024537929303342976,0.03898795965450552
2022-07-01,0.023489732641040373,0.020665304448553412
2022-10-01,0.013170742821654535,0.006426213707484196
2023-01-01,0.023111462286238282,0.003658820294820453
2023-04-01,0.027926104762839188,0.003166111687319173
2023-07-01,0.032331922827038895,0.0026575262800800914
