date,gdp,gdp_growth,entropy,year,crisis
1980-07-01,7181.743,-0.01623745716089553,2.3293016206663673,1980,0
1980-10-01,7315.677,-0.00039051531488198954,2.3059609095716613,1980,0
1981-01-01,7459.022,0.016000011986558205,2.208044450746809,1981,0
1981-04-01,7403.745,0.029686706612209957,2.1802080341233903,1981,0
1981-07-01,7492.405,0.04325718700878034,2.1916220252035865,1981,0
1981-10-01,7410.768,0.012998250196119887,2.199279955107688,1981,0
1982-01-01,7295.631,-0.02190515056799669,2.220418632869489,1982,0
1982-04-01,7328.912,-0.010107452377141501,2.3044862120148712,1982,0
1982-07-01,7300.896,-0.025560417516138023,2.28841159377625,1982,0
1982-10-01,7303.817,-0.014431837563933958,2.2872386565598566,1982,0
1983-01-01,7400.066,0.014314731652409485,2.290651605378413,1983,0
1983-04-01,7568.456,0.03268479687025838,2.290862779814049,1983,0
1983-07-01,7719.746,0.05736967079109201,2.3109029849158604,1983,0
1983-10-01,7880.794,0.07899663970222681,2.265707121126578,1983,0
1984-01-01,8034.847,0.08578045114732769,2.287273780454655,1984,0
1984-04-01,8173.67,0.07996531921438144,2.2621725635922387,1984,0
1984-07-01,8252.465,0.06900732226163919,2.2500443504768852,1984,0
1984-10-01,8320.199,0.05575643773964911,2.2462544091990533,1984,0
1985-01-01,8400.82,0.045548222635726665,2.289511787466078,1985,0
1985-04-01,8474.787,0.03683987731337335,2.3118141066262794,1985,0
1985-07-01,8604.22,0.04262423409248006,2.354877850087087,1985,0
1985-10-01,8668.188,0.04182460058948112,2.36966623771118,1985,0
1986-01-01,8749.127,0.04146107165729074,2.402892175517093,1986,0
1986-04-01,8788.524,0.03702004545954951,2.435208080660876,1986,0
1986-07-01,8872.601,0.031191787285773875,2.438572281698667,1986,0
1986-10-01,8920.193,0.029072396676214085,2.427361622357068,1986,0
1987-01-01,8986.367,0.027115848244058993,2.4229834701933863,1987,0
1987-04-01,9083.256,0.03353600672877488,2.4303637173868484,1987,0
1987-07-01,9162.024,0.032619859723208355,2.4490226728091695,1987,0
1987-10-01,9319.332,0.04474555651430423,2.464751509373699,1987,0
1988-01-01,9367.502,0.042412578965448366,2.4715164717983864,1988,1
1988-04-01,9490.594,0.04484493225777175,2.47268162608774,1988,1
1988-07-01,9546.206,0.04193200105129624,2.4711833847183735,1988,1
1988-10-01,9673.405,0.03799338836732069,2.4713540165952885,1988,1
1989-01-01,9771.725,0.043151632099998505,2.4718508161902966,1989,0
1989-04-01,9846.293,0.037479108262349126,2.4713989307171054,1989,0
1989-07-01,9919.228,0.0390754190722471,2.4714102342729483,1989,0
1989-10-01,9938.767,0.02743211930028755,2.472814324213079,1989,0
1990-01-01,10047.386,0.02821006526483294,2.4717177765680596,1990,0
1990-04-01,10083.855,0.024127049641931242,2.472499388995118,1990,0
1990-07-01,10090.569,0.017273622503686914,2.4666317450133746,1990,0
1990-10-01,9998.704,0.006030627340393391,2.4519091803885207,1990,0
1991-01-01,9951.916,-0.009501973946258402,2.4073293498866652,1991,0
1991-04-01,10029.51,-0.0053893079581170955,2.3763657209384235,1991,0
1991-07-01,10080.195,-0.00102808870342197,2.3326996827084905,1991,0
1991-10-01,10115.329,0.011664011655910578,2.2541312761132875,1991,0
1992-01-01,10236.435,0.02858936912248855,2.237404392245607,1992,0
1992-04-01,10347.429,0.03169835814511379,2.256988482364377,1992,0
1992-07-01,10449.673,0.036653854414522735,2.2657523951280165,1992,0
1992-10-01,10558.648,0.04382645388993267,2.2707180792695567,1992,0
1993-01-01,10576.275,0.033199058070509935,2.2457121826197817,1993,0
1993-04-01,10637.847,0.02806668207145946,2.242471547047421,1993,0
1993-07-01,10688.606,0.022865117406066116,2.2428128938775873,1993,0
1993-10-01,10833.987,0.026077107599381977,2.2494163180376474,1993,0
1994-01-01,10939.116,0.03430706936043171,2.295603240620822,1994,0
1994-04-01,11087.361,0.04225610689832271,2.3242326474889765,1994,0
1994-07-01,11152.176,0.04337048254936149,2.3680477558020656,1994,0
1994-10-01,11279.932,0.04116167021429895,2.441176291949967,1994,0
1995-01-01,11319.951,0.03481405627292,2.4645991327866863,1995,0
1995-04-01,11353.721,0.024023751008017014,2.4662264193884247,1995,0
1995-07-01,11450.31,0.026733258155179795,2.461802768253839,1995,0
1995-10-01,11528.067,0.021997916299495213,2.4595327004795706,1995,0
1996-01-01,11614.418,0.026013098466592277,2.457743203317394,1996,0
1996-04-01,11808.14,0.04002379484223728,2.456111503513113,1996,0
1996-07-01,11914.063,0.040501348871777365,2.4547199359450653,1996,0
1996-10-01,12037.775,0.04421452442981133,2.4580192130317142,1996,0
1997-01-01,12115.472,0.043140689443069924,2.4584830472507453,1997,0
1997-04-01,12317.221,0.0431127171595187,2.457174472443737,1997,0
1997-07-01,12471.01,0.04674702492340366,2.4568744678056325,1997,0
1997-10-01,12577.495,0.04483552816031211,2.4553209930670907,1997,0
1998-01-01,12703.742,0.04855526883310857,2.4541214928100934,1998,0
1998-04-01,12821.339,0.040927900863352296,2.451491872984807,1998,0
1998-07-01,12982.752,0.04103452727565782,2.458992109345748,1998,0
1998-10-01,13191.67,0.04883126568525764,2.464540859142975,1998,0
1999-01-01,13315.597,0.048163367927339884,2.474938987520695,1999,0
1999-04-01,13426.748,0.04721885912228041,2.4824141418323995,1999,0
1999-07-01,13604.771,0.047911182467322844,2.482721809468793,1999,0
1999-10-01,13827.98,0.048235742707329665,2.4830343403731954,1999,0
2000-01-01,13878.147,0.04224744861233032,2.4829439204631347,2000,0
2000-04-01,14130.908,0.052444568111355006,2.4828301459661652,2000,0
2000-07-01,14145.312,0.039731723525519014,2.482270769495094,2000,0
2000-10-01,14229.765,0.029055943095086967,2.4813960685677094,2000,0
2001-01-01,14183.12,0.021975051856706784,2.475119523887469,2001,0
2001-04-01,14271.694,0.009962983270431103,2.4624250340352094,2001,0
2001-07-01,14214.516,0.004892362925611016,2.425404269215143,2001,0
2001-10-01,14253.574,0.0016731829373148877,2.3679497603431643,2001,0
2002-01-01,14372.785,0.013372586567694578,2.2892451115373738,2002,0
2002-04-01,14460.848,0.013253787532159889,2.262751675696406,2002,0
2002-07-01,14519.633,0.021465169830615416,2.2397098009124843,2002,0
2002-10-01,14537.58,0.01992524822195474,2.2414427772591448,2002,0
2003-01-01,14614.141,0.016792570124718242,2.2509513854667147,2003,0
2003-04-01,14743.567,0.019550651524723905,2.256510962592483,2003,0
2003-07-01,14988.782,0.032311353875128956,2.31461117394617,2003,0
2003-10-01,15162.76,0.04300440651057458,2.33494880399149,2003,0
2004-01-01,15248.68,0.04341952085996703,2.2991255157335195,2004,0
2004-04-01,15366.85,0.04227491217016888,2.2691492725175118,2004,0
2004-07-01,15512.619,0.03494860356231766,2.279209016953046,2004,0
2004-10-01,15670.88,0.03351104943954786,2.3295461294067183,2004,0
2005-01-01,15844.727,0.039088432572524257,2.4022594754486644,2005,0
2005-04-01,15922.782,0.036177355801611855,2.418161397829651,2005,0
2005-07-01,16047.587,0.03448598847170792,2.437874010262605,2005,0
2005-10-01,16136.734,0.029727366937913002,2.4445722866599695,2005,0
2006-01-01,16353.835,0.032131067957182013,2.4528560843593876,2006,0
2006-04-01,16396.151,0.029729038556202125,2.46708551978038,2006,0
2006-07-01,16420.738,0.02325277937424497,2.47628817378079,2006,0
2006-10-01,16561.866,0.026345603763438197,2.4707281646725865,2006,0
