date,gdp,gdp_growth,entropy,volatility,year,crisis,crisis_next_4q,entropy_std,volatility_std,country,credit_yoy,credit_std
1962-01-01,3758.147,0.0756916085883658,2.265023618275262,0.0283820468160514,1962,0,0.0,-0.8683636917865255,0.8056076373846187,US,0.0789686442120392,0.16986265035343753
1962-04-01,3792.149,0.0673027263278207,2.263888368240192,0.0285373740708082,1962,0,0.0,-0.8796049279767743,0.8189416832325066,US,0.08380979651404452,0.2348209587245636
1962-07-01,3838.776,0.0600687276113343,2.286081611952565,0.0256199589298584,1962,0,0.0,-0.6598476175239766,0.5684965999941606,US,0.08844666440830573,0.2970381904416546
1962-10-01,3851.421,0.0430984681859951,2.290395430672579,0.0250184951653617,1962,0,0.0,-0.6171322212539524,0.5168640296239427,US,0.08818948089393608,0.2935873165603529
1963-01-01,3893.482,0.0360110980225094,2.290027801220397,0.0249577017587639,1963,0,0.0,-0.6207724849622154,0.5116452283768977,US,0.09219777354679137,0.34737036116277964
1963-04-01,3937.183,0.0382458600650976,2.287348369016079,0.0247161436511018,1963,0,0.0,-0.6473041998567438,0.4909087073617095,US,0.09412032913884416,0.373167103594838
1963-07-01,4023.755,0.0481869741813536,2.3054098362167874,0.0242384457563804,1963,0,0.0,-0.4684597052754437,0.4499008002843013,US,0.09453994778067876,0.3787975228492114
1963-10-01,4050.147,0.0515980984680719,2.3192026851554908,0.024033933404836,1963,0,0.0,-0.33188303241345735,0.4323444668757031,US,0.09714732396653947,0.41378314936017924
1964-01-01,4135.553,0.0621733964610597,2.3683247557959324,0.0222481610715064,1964,0,0.0,0.15452329321064337,0.279045097722544,US,0.09831053837296544,0.42939109461797575
1964-04-01,4180.592,0.061823135983265,2.421623743157238,0.0167363156838341,1964,0,0.0,0.6822894126737399,-0.1941184769557905,US,0.09806999129538996,0.42616344750667773
1964-07-01,4245.918,0.0552128546593915,2.451280553549905,0.0135543422386533,1964,0,0.0,0.9759508969058768,-0.4672745297762644,US,0.09705903120354353,0.412598442049225
1964-10-01,4259.046,0.0515781279049871,2.462190321710486,0.0116324263016491,1964,0,0.0,1.083979328427858,-0.6322611270088538,US,0.09429702405957441,0.3755379860691722
1965-01-01,4362.111,0.0547830000002418,2.462740493595561,0.0113618953213653,1965,0,0.0,1.0894271257538322,-0.6554848201078276,US,0.09796168106518599,0.4247101469504398
1965-04-01,4417.225,0.0566027490843403,2.4685210138108182,0.0093683490679454,1965,0,0.0,1.1466657877532316,-0.8266205115523881,US,0.09829538804217908,0.4291878083345144
1965-07-01,4515.427,0.0634748480776123,2.471221751774449,0.008374115321727,1965,0,0.0,1.173408472095238,-0.9119703645215412,US,0.09852471250071759,0.4322648709769386
1965-10-01,4619.458,0.0846227065873435,2.470329875485089,0.0087069510370588,1965,0,0.0,1.1645771206647537,-0.883398130402049,US,0.0986399964824578,0.43381174493771646
1966-01-01,4731.888,0.0847701949812831,2.4614539024662148,0.0121086429480148,1966,0,0.0,1.0766873113354456,-0.5913803774835286,US,0.10031523176604651,0.4562899574286703
1966-04-01,4748.046,0.0748934002682679,2.4615155538172795,0.013076530132323,1966,0,0.0,1.0772977824892505,-0.5082922413328155,US,0.10262889769081363,0.4873345962322325
1966-07-01,4788.254,0.060421085314855,2.467182346171471,0.0120101147906881,1966,0,0.0,1.1334103121758077,-0.5998385129804814,US,0.0964244430016945,0.4040835733706849
1966-10-01,4827.537,0.0450440289748279,2.4698823050007896,0.0112489727231289,1966,0,0.0,1.160145281536487,-0.6651786443146951,US,0.0876548910952053,0.28641422081130413
1967-01-01,4870.299,0.0292506923240787,2.4674131165658144,0.0119506273017143,1967,0,0.0,1.1356953986575467,-0.6049452079168892,US,0.07910058069480796,0.17163296663320946
1967-04-01,4873.287,0.0263773771357733,2.4520167895696843,0.0151616901561837,1967,0,0.0,0.9832410997109281,-0.3292919789392131,US,0.07143840390822231,0.06882231093643539
1967-07-01,4919.392,0.0273874360048569,2.4340835161981147,0.0177848510547034,1967,0,0.0,0.8056659793352763,-0.1041071088272811,US,0.07350488082807272,0.09655018162248132
1967-10-01,4956.477,0.0267092722437962,2.4181914642445714,0.0196189890984957,1967,0,0.0,0.6483030160772437,0.0533442077853558,US,0.09423078283882558,0.37464916510758006
1968-01-01,5057.553,0.0384481527725504,2.402358598830132,0.0211200577894961,1968,0,0.0,0.49152611742594327,0.18220323370434,US,0.08416296566120729,0.2395597624096003
1968-04-01,5142.033,0.0551467623392589,2.397060010794028,0.0214757530215658,1968,0,0.0,0.43905954376495104,0.2127378397509004,US,0.09085205924682693,0.32931364263311996
1968-07-01,5181.859,0.0533535445030606,2.397047805741231,0.0214506803602819,1968,0,0.0,0.4389386894359833,0.2105854807485344,US,0.09429999811650225,0.3755778917971849
1968-10-01,5202.212,0.0495785615468407,2.397840144605357,0.0211554353966706,1968,0,0.0,0.44678442212852,0.1852402193047868,US,0.08652082702818742,0.2711974131625453
1969-01-01,5283.597,0.044694341314861,2.410984611425452,0.0185005823487094,1969,0,0.0,0.5769408207675139,-0.0426652588184906,US,0.09710496832044746,0.4132148236913167
1969-04-01,5299.625,0.0306478001988705,2.4300422909822847,0.0147236889395226,1969,0,0.0,0.7656498016248646,-0.366892130397079,US,0.09751629761327507,0.4187340169285353
1969-07-01,5334.6,0.0294761011443962,2.4420812403366816,0.011855214146376,1969,0,0.0,0.8848593757226184,-0.6131359365160944,US,0.09618252476361322,0.40083752810510337
1969-10-01,5308.556,0.020442073487201,2.446910725186006,0.0105549856699338,1969,0,0.0,0.9326808936185493,-0.7247538630979928,US,0.08972423857898226,0.31418060856211233
